study_hours,attendance,prev_sem_marks,internal_marks,assignment_pct,participation,sleep_hours,internet_hours,final_percentage,performance_category
4.37,82.43,51.51,16.81,68.74,1,4.74,3.13,40.67,1
9.56,49.15,59.4,11.43,65.22,0,7.11,7.88,51.92,1
7.59,74.58,53.6,18.19,43.57,1,5.48,5.5,51.92,1
6.39,76.4,61.3,16.22,90.12,0,6.15,6.02,54.56,1
2.4,65.45,44.17,23.54,77.39,0,9.94,7.84,35.11,0
2.4,84.19,71.14,22.12,88.65,0,8.11,3.64,46.79,1
1.52,96.06,44.06,17.29,90.11,1,9.69,6.61,34.12,0
8.8,95.53,88.02,14.36,82.38,0,4.86,4.04,66.28,1
6.41,67.05,54.02,29.76,60.74,1,6.29,7.09,54.76,1
7.37,46.79,72.4,19.08,72.74,0,7.33,2.26,53.18,1
1.19,99.09,92.8,23.77,41.23,1,4.46,7.63,47.59,1
9.73,90.33,79.05,12.81,77.16,0,4.03,2.53,64.28,1
8.49,47.48,71.98,19.71,42.55,1,8.02,3.28,59.27,1
2.91,95.25,59.46,10.55,78.58,1,7.85,6.29,40.8,1
2.64,92.19,59.98,20.11,46.07,1,6.46,3.76,44.14,1
2.65,71.13,80.17,29.28,38.23,1,6.94,5.26,42.87,1
3.74,75.48,99.65,17.68,41.57,1,6.49,4.11,45.72,1
5.72,63.94,79.71,10.78,30.14,1,4.14,6.2,45.11,1
4.89,43.29,73.47,10.62,80.31,0,6.01,2.6,45.62,1
3.62,60.11,83.84,17.76,81.27,1,5.06,1.41,45.47,1
6.51,88.17,67.91,13.2,66.05,1,4.59,3.1,51.25,1
2.26,40.28,43.61,10.47,41.3,1,9.74,4.32,25.13,0
3.63,60.01,73.74,25.12,35.85,0,7.6,2.18,42.57,1
4.3,63.89,97.46,19.17,31.34,0,8.37,3.48,49.19,1
5.1,72.24,50.52,15.78,41.6,0,5.89,3.8,36.2,0
8.07,95.19,81.4,28.0,92.36,1,6.36,1.4,73.2,1
2.8,60.78,52.06,12.32,46.91,0,5.42,5.08,30.76,0
5.63,60.82,72.15,29.12,54.8,0,4.58,7.19,54.63,1
6.33,84.25,45.8,16.28,37.37,1,5.07,2.06,42.0,1
1.42,67.13,67.02,27.77,45.57,1,8.79,5.18,43.64,1
6.47,53.48,85.37,22.06,66.35,0,8.07,5.65,55.41,1
2.53,67.15,60.85,26.53,72.54,1,7.28,3.94,45.47,1
1.59,48.45,79.89,29.68,47.17,1,6.85,5.91,37.52,0
9.54,50.58,87.73,15.77,34.04,1,9.53,3.88,57.35,1
9.69,69.9,95.63,29.22,57.37,1,4.44,4.53,63.83,1
8.28,65.14,54.08,17.79,46.39,0,5.68,1.05,50.19,1
3.74,94.89,63.96,17.71,45.37,1,6.1,5.84,50.16,1
1.88,61.74,49.14,16.81,97.19,0,8.69,5.63,38.91,0
7.16,74.84,99.55,20.83,73.14,0,9.96,1.27,60.92,1
4.96,77.94,95.62,13.08,68.98,0,5.44,3.58,47.2,1
2.1,40.79,72.4,21.07,59.1,0,9.25,7.85,38.88,0
5.46,79.81,90.52,20.83,60.03,1,8.98,3.95,55.22,1
1.31,50.68,71.26,25.24,67.86,1,5.35,4.51,29.82,0
9.18,97.66,77.42,26.67,78.75,1,6.4,7.37,71.39,1
3.33,48.92,45.35,18.81,79.15,0,6.46,6.02,36.3,0
6.96,64.88,85.32,16.05,42.02,0,9.87,5.07,56.51,1
3.81,45.12,47.66,15.19,65.01,0,5.09,6.58,30.44,0
